province,district,property_type,url,price_history_json,summary_text,scraped_at
Hà Nội,Cầu Giấy,cho-thue-nha-rieng,https://batdongsan.com.vn/cho-thue-nha-rieng-cau-giay,,,2026-05-16T12:09:18.192306
Hà Nội,Cầu Giấy,ban-nha-rieng,https://batdongsan.com.vn/ban-nha-rieng-cau-giay,,,2026-05-16T12:09:27.162986
Hà Nội,Cầu Giấy,cho-thue-can-ho-chung-cu,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-cau-giay,,,2026-05-16T12:09:56.359067
Hà Nội,Cầu Giấy,ban-can-ho-chung-cu,https://batdongsan.com.vn/ban-can-ho-chung-cu-cau-giay,,,2026-05-16T12:09:59.295278
Hà Nội,Cầu Giấy,ban-dat,https://batdongsan.com.vn/ban-dat-cau-giay,,,2026-05-16T12:10:31.445058
Hà Nội,Hoàn Kiếm,ban-nha-rieng,https://batdongsan.com.vn/ban-nha-rieng-hoan-kiem,,,2026-05-16T12:10:34.519582
Hà Nội,Cầu Giấy,cho-thue-nha-rieng,https://batdongsan.com.vn/cho-thue-nha-rieng-cau-giay,,,2026-05-16T12:11:03.551910
Hà Nội,Hoàn Kiếm,ban-can-ho-chung-cu,https://batdongsan.com.vn/ban-can-ho-chung-cu-hoan-kiem,,,2026-05-16T12:11:12.673482
Hà Nội,Cầu Giấy,cho-thue-can-ho-chung-cu,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-cau-giay,,,2026-05-16T12:11:35.667082
Hà Nội,Hoàn Kiếm,ban-dat,https://batdongsan.com.vn/ban-dat-hoan-kiem,,,2026-05-16T12:11:50.838718
Hà Nội,Hoàn Kiếm,ban-nha-rieng,https://batdongsan.com.vn/ban-nha-rieng-hoan-kiem,,,2026-05-16T12:12:07.767697
Hà Nội,Hoàn Kiếm,cho-thue-nha-rieng,https://batdongsan.com.vn/cho-thue-nha-rieng-hoan-kiem,,,2026-05-16T12:12:29.000336
